date,close,pb,pe_ttm,pb_pct10y,pe_pct10y,ma20,ma60,ma120,close_300,temp_300,temp_500
2016-06-23,2137.4900,6.2585,50.8955,0.7335,0.3746,,,,,,
2016-06-24,2127.3600,6.2247,50.6200,0.7249,0.3675,,,,,,
2016-06-27,2191.8100,6.4036,52.0638,0.7576,0.3971,,,,,,
2016-06-28,2216.7100,6.4848,52.7241,0.7754,0.4111,,,,,,
2016-06-29,2209.7900,6.4726,52.5890,0.7702,0.4088,,,,,,
2016-06-30,2227.7900,6.5156,53.0546,0.7818,0.4194,,,,,,
2016-07-01,2211.1800,6.6883,54.2481,0.8064,0.4435,,,,,,
2016-07-04,2248.7100,6.7944,55.1041,0.8133,0.4716,,,,,,
2016-07-05,2246.0200,6.7822,55.0050,0.8120,0.4692,,,,,,
2016-07-06,2241.5600,6.7890,55.0406,0.8122,0.4703,,,,,,
2016-07-07,2233.9200,6.7679,54.8641,0.8096,0.4612,,,,,,
2016-07-08,2239.0000,6.7557,55.1114,0.8084,0.4730,,,,,,
2016-07-11,2218.5900,6.6928,54.5949,0.8038,0.4531,,,,,,
2016-07-12,2247.3500,6.7844,55.3416,0.8120,0.4811,,,,,,
2016-07-13,2285.3700,6.8477,56.3049,0.8195,0.5138,,,,,,
2016-07-14,2293.0800,6.8846,56.6083,0.8230,0.5229,,,,,,
2016-07-15,2263.7800,6.8167,56.0178,0.8164,0.5017,,,,,,
2016-07-18,2249.8700,6.7790,55.6909,0.8085,0.4933,,,,,,
2016-07-19,2273.7200,6.8365,56.1637,0.8180,0.5084,,,,,,
2016-07-20,2268.5400,6.8209,56.0404,0.8161,0.5034,2231.5820,,,,,
2016-07-21,2265.1300,6.8123,55.9694,0.8149,0.5003,2237.9640,,,,,
2016-07-22,2250.0000,6.7626,55.5614,0.8050,0.4886,2244.0960,,,,,
2016-07-25,2245.8900,6.7565,55.5108,0.8038,0.4863,2246.8000,,,,,
2016-07-26,2279.5500,6.8046,56.3252,0.8119,0.5161,2249.9420,,,,,
2016-07-27,2155.3900,6.4315,53.2046,0.7532,0.4194,2247.2220,,,,,
2016-07-28,2139.7400,6.3881,52.8455,0.7433,0.4084,2242.8195,,,,,
2016-07-29,2122.4100,6.3329,52.2529,0.7368,0.3941,2238.3810,,,,,
2016-08-01,2099.1800,6.2483,52.5852,0.7196,0.4032,2230.9045,,,,,
2016-08-02,2113.2100,6.2834,52.6190,0.7272,0.4049,2224.2640,,,,,
2016-08-03,2108.3100,6.2153,52.4410,0.7087,0.3987,2217.6015,,,,,
2016-08-04,2129.6500,6.2692,52.9066,0.7242,0.4131,2212.3880,,,,,
2016-08-05,2109.0600,6.2199,52.4906,0.7091,0.4015,2205.8910,,,,,
2016-08-08,2130.5900,6.2021,53.0796,0.7033,0.4185,2201.4910,,,,,
2016-08-09,2154.5100,6.2566,53.3995,0.7207,0.4255,2196.8490,,,,,
2016-08-10,2137.0000,6.1983,52.5707,0.7017,0.4027,2189.4305,,,,,
2016-08-11,2103.4000,6.1006,51.7422,0.6753,0.3838,2179.9465,,,,,
2016-08-12,2123.8400,6.1572,52.2233,0.6908,0.3922,2172.9495,,,,,
2016-08-15,2193.2100,6.3263,53.7891,0.7367,0.4344,2170.1165,,,,,
2016-08-16,2201.1000,6.3356,53.9854,0.7396,0.4407,2166.4855,,,,,
2016-08-17,2208.2000,6.3543,54.1448,0.7430,0.4424,2163.4685,,,,,
2016-08-18,2201.5900,6.3322,53.7375,0.7373,0.4295,2160.2915,,,,,
2016-08-19,2204.5600,6.3341,53.5972,0.7381,0.4272,2158.0195,,,,,
2016-08-22,2167.4000,6.2095,52.7272,0.7039,0.4071,2154.0950,,,,,
2016-08-23,2174.1600,6.2206,52.7216,0.7074,0.4062,2148.8255,,,,,
2016-08-24,2192.1700,6.2588,52.9589,0.7201,0.4145,2150.6645,,,,,
2016-08-25,2180.6600,6.1816,52.7196,0.6946,0.4057,2152.7105,,,,,
2016-08-26,2189.7500,6.1117,49.5657,0.6744,0.3309,2156.0775,,,,,
2016-08-29,2193.2000,6.0535,48.8487,0.6568,0.3103,2160.7785,,,,,
2016-08-30,2195.5300,6.0603,48.9031,0.6596,0.3147,2164.8945,,,,,
2016-08-31,2191.7600,6.0499,48.8196,0.6553,0.3099,2169.0670,,,,,
2016-09-01,2181.3300,6.0241,48.6270,0.6437,0.3051,2171.6510,,,,,
2016-09-02,2170.8600,5.9940,48.3914,0.6340,0.2996,2174.7410,,,,,
2016-09-05,2182.6900,6.0218,48.6161,0.6435,0.3053,2177.3460,,,,,
2016-09-06,2222.8400,6.1251,49.4501,0.6791,0.3307,2180.7625,,,,,
2016-09-07,2212.0500,6.0990,49.2392,0.6702,0.3233,2184.5150,,,,,
2016-09-08,2223.4700,6.1272,49.4665,0.6809,0.3316,2190.5185,,,,,
